Country,Air Pollution (PM2.5),Cholera,Life Expectancy,Malaria
AFG,-0.7126649698077242,-0.3325202786310574,0.8731261255965759,-0.7298341613663659
AGO,0.33525455569332746,,-0.04783460430272045,-0.4120198443634873
ALB,-0.6478671445709604,,0.7895975793189364,
ARE,-0.07377413771785897,,-0.43193340756792487,
ARG,-0.9064825390852509,,0.7096767175124926,-0.4744332433413271
ARM,0.05283350942314997,,0.4031404570786077,-0.5960942612603397
ASM,-0.30486641101643797,,,
ATG,-0.5376458883015164,,0.6687189696524153,
AUS,-0.1645383707892305,0.9519284026157094,-0.8090310022575928,
AUT,0.4189553314521006,,-0.7339060526888792,
AZE,-0.17448066652473546,,0.08393546168441932,-0.07549031503233745
BDI,-0.275700079061797,0.5124321240230937,0.5692571347613303,0.2929393878694163
BEL,0.9421502458157033,,-0.9579830611846581,
BEN,-0.40105346720667745,,0.9259447901440049,-0.42871206399057954
BFA,-0.128489787455446,,0.9046592372344431,-0.9369995434712701
BGD,0.5722048780297341,,0.9522850776286296,-0.9232600771719857
BGR,0.3545178704708525,,0.2119656738801953,
BHR,0.14913885906831276,,-0.7160807972681761,
BHS,0.1735339598508192,,-0.15579712734062465,
BIH,-0.6930298559270138,,0.425787012181132,
BLR,0.33541937008764205,,0.5175813683919868,
BLZ,-0.09094028011833241,,0.48440446433317486,-0.5427279534465163
BMU,-0.5037434362476552,,,
BOL,-0.8211568885176204,,0.7041767918584633,-0.7356944847484637
BRA,-0.8450505161024858,,0.6509789668722215,-0.7300224192386519
BRB,-0.20358500459497192,,0.28654995604315503,
BRN,-0.24203510798688216,,0.4592892618525037,
BTN,0.23076118812386687,,0.901271160134512,-0.7133556632515401
BWA,-0.5878482311644198,,0.5166383823415465,-0.1470696787148043
CAF,-0.6992211570079516,,-0.3095030807298861,-0.2533946261674397
CAN,0.3810261986030718,,-0.7447806330245069,
CHE,0.9126543044152204,,-0.8834325230081221,
CHL,-0.7057296725093474,,0.949379335295804,
CHN,-0.21421809080635862,-0.582961671175306,0.9859222348091926,-0.8108556982038104
CIV,-0.40265334814251985,,0.6990696613199003,-0.7300733560225209
CMR,0.26118699021397757,,0.6820787930540096,-0.6175629085569122
COD,-0.25408729857258205,-0.3804233987322475,0.5636987501514454,-0.479525038333302
COG,0.23371196304887587,,-0.08049927998402018,0.06553206981064552
COL,0.06648226262419152,,0.5911615281417999,-0.5091621497525786
COM,0.043535244786813816,,0.6220659604774527,-0.38319038297863767
CPV,-0.6237213021993354,,0.9117913974447599,-0.08584662395720385
CRI,-0.6788145994669857,,0.7964154404729117,-0.46249149034983655
CUB,0.16054893025998854,,0.11586031658368792,
CYP,0.7066693969777128,,-0.860779170986825,
CZE,0.9261625957860082,,-0.8376199773588497,
DEU,0.9424127528241252,,-0.7468371948264491,
DJI,-0.5436313023217278,,-0.8345593064441575,-0.5909565471931342
DMA,-0.41848916719376617,,,
DNK,0.9126770257959566,,-0.9638320173484691,
DOM,-0.09936237810915093,-0.2117446840762645,0.38964577036032866,-0.5289751292734485
DZA,0.5846549637558752,,0.8837945406079606,-0.30174758239610916
ECU,-0.9063837127474275,,0.8487903869093657,-0.8021514749830574
EGY,-0.6282266064123555,,0.6490504571468034,
ERI,0.7675895499292485,,-0.8960399961809545,0.18567923614852624
ESP,0.605139322909331,,-0.8705683158376539,
EST,0.06975284502861837,,0.11161182311964442,
ETH,0.6385204189501159,,0.8707210097403344,-0.7900859688755926
FIN,0.7885214695644511,,-0.8620327669040142,
FJI,0.5122838976921944,,-0.02270174635434495,
FRA,0.9499552083450973,,-0.9118187636515799,
FSM,-0.07722978694954916,,0.48773198859033745,
GAB,-0.3448970187178263,,-0.9511107283433738,0.5927362703888825
GBR,0.8879316612562616,-0.46697538282010964,-0.8187113241002489,
GEO,0.12477248744524085,,0.7742412183106098,-0.7133524854545901
GHA,-0.695196847482613,-0.81248830236391,0.9654327707796245,-0.8366360772006967
GIN,-0.3945796433580029,,0.8357418799679871,-0.9136736406531694
GMB,-0.47691648849334123,,0.056281881577087384,0.37017973324559084
GNB,0.0916848793754384,,-0.07539748989547258,-0.309579657873189
