IncomeGroup,Outcome,Correlation,P_value,Observations
Overall (pooled),malaria,-0.739568736191075,0.0,2605
Low income,malaria,-0.3852401654659997,4.8338063773980405e-21,554
Lower middle income,malaria,-0.5365796483324804,2.4367922639873343e-79,1050
Upper middle income,malaria,-0.3088734494951089,1.0204011261535393e-19,826
High income,malaria,-0.7176871045937476,5.431450285490346e-29,175
Overall (pooled),cholera,-0.7036963448829106,3.7151393320013883e-33,213
Low income,cholera,-0.1423157555233027,0.3093652720310749,53
Lower middle income,cholera,-0.19400222139948173,0.10004974998223845,73
Upper middle income,cholera,-0.5526862895283947,0.0003204580532263365,38
High income,cholera,-0.0570408163265306,0.6970577307773337,49
Overall (pooled),air_pollution,-0.24152747312076686,4.057096459282737e-83,6209
Low income,air_pollution,-0.09628311187919654,0.008282770297238725,751
Lower middle income,air_pollution,0.033481052991456,0.18570162639892562,1564
Upper middle income,air_pollution,0.2441930001486015,7.79820082858737e-26,1799
High income,air_pollution,0.175960870036147,4.958770567183352e-16,2095
Overall (pooled),life_expectancy,0.7420406000211262,0.0,3946
Low income,life_expectancy,0.5410713953079862,7.757774089219972e-39,493
Lower middle income,life_expectancy,0.5076805854129367,2.107599346129102e-67,1012
Upper middle income,life_expectancy,0.0013776618363324745,0.9625355192912032,1165
High income,life_expectancy,0.057412225633128776,0.040314516309748895,1276
