STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2015,50.0503503017181,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2015,22.7617347856024,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2015,17.8250254097149,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2016,25.67118639608494,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Africa Eastern and Southern,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2016,54.33100770155437,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Africa Western and Central,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2016,39.18930043581483,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Arab World,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2016,13.729662012210749,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Caribbean small states,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2016,18.72504474004883,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2016,42.421338308596106,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_EN_ATM_PM25_MC_M3,_T,_T,_T,MCG_M3,_Z,_Z,_Z,2016,35.73508362374645,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Total,All age ranges or no breakdown by age,Total,Micrograms per cubic meter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
