IncomeGroup,Outcome,Correlation,P_value,Observations
High income,Malaria,-0.38369017409061035,1.5938071407473479e-07,175
Low income,Malaria,-0.38024245872305434,1.6869434918548832e-20,554
Lower middle income,Malaria,-0.32554707109413566,2.4062632056003884e-27,1050
Upper middle income,Malaria,0.03422794081966494,0.3258454177562903,826
High income,Cholera,0.27665916638514404,0.05430869614577746,49
Low income,Cholera,-0.010126731292001154,0.9426277254662506,53
Lower middle income,Cholera,-0.11846832195204483,0.3181608872750923,73
Upper middle income,Cholera,-0.2716959997716148,0.09892169907209883,38
High income,Life Expectancy,-0.051172400030397344,0.06764831145286217,1276
Low income,Life Expectancy,0.5246678840810319,3.208716774726319e-36,493
Lower middle income,Life Expectancy,0.4475951972185389,5.1749081914346256e-51,1012
Upper middle income,Life Expectancy,-0.14182707046327186,1.1723986131456257e-06,1165
High income,Air Pollution (PM2.5),0.30872628882382813,4.443015012114318e-50,2213
Low income,Air Pollution (PM2.5),0.004366678564649337,0.9049051023604905,751
Lower middle income,Air Pollution (PM2.5),-0.02022470902081716,0.4241293937357383,1564
Upper middle income,Air Pollution (PM2.5),0.28044630879048105,1.079620504627486e-35,1901
