Country,Outcome,Correlation,P_value,Years
AFG,Malaria,-0.7298341613663659,3.465461360592642e-05,25
AGO,Malaria,-0.4120198443634873,0.04070168163170912,25
ARE,Malaria,,,25
ARG,Malaria,-0.4744332433413271,0.016566582980791462,25
ARM,Malaria,-0.5960942612603397,0.0016633682014546849,25
AZE,Malaria,-0.07549031503233745,0.7198645244816259,25
BDI,Malaria,0.2929393878694163,0.15528537452735905,25
BEN,Malaria,-0.42871206399057954,0.03249225086548648,25
BFA,Malaria,-0.9369995434712701,5.453495402974807e-12,25
BGD,Malaria,-0.9232600771719857,4.923274718231325e-11,25
BLZ,Malaria,-0.5427279534465163,0.005060200848139364,25
BOL,Malaria,-0.7356944847484637,2.7803593602474932e-05,25
BRA,Malaria,-0.7300224192386519,3.4413254239407695e-05,25
BTN,Malaria,-0.7133556632515401,6.255444127984328e-05,25
BWA,Malaria,-0.1470696787148043,0.4829719930669302,25
CAF,Malaria,-0.2533946261674397,0.22164051587318295,25
CHN,Malaria,-0.8108556982038104,8.862300328457949e-07,25
CIV,Malaria,-0.7300733560225209,3.434820572094037e-05,25
CMR,Malaria,-0.6175629085569122,0.0010050047289237958,25
COD,Malaria,-0.479525038333302,0.01528456300462355,25
COG,Malaria,0.06553206981064552,0.7556333655573763,25
COL,Malaria,-0.5091621497525786,0.009336167904939656,25
COM,Malaria,-0.38319038297863767,0.05865618639060253,25
CPV,Malaria,-0.08584662395720385,0.6832643946453097,25
CRI,Malaria,-0.46249149034983655,0.019921031281834433,25
DJI,Malaria,-0.5909565471931342,0.001866894019802119,25
DOM,Malaria,-0.5289751292734485,0.006552004428145386,25
DZA,Malaria,-0.30174758239610916,0.14267062668364017,25
ECU,Malaria,-0.8021514749830574,1.420193637432728e-06,25
EGY,Malaria,,,25
ERI,Malaria,0.18567923614852624,0.5634191793399256,12
ETH,Malaria,-0.7900859688755926,2.6319325951964345e-06,25
GAB,Malaria,0.5927362703888825,0.001794105198207451,25
GEO,Malaria,-0.7133524854545901,6.256132362439037e-05,25
GHA,Malaria,-0.8366360772006967,1.8802140966370142e-07,25
GIN,Malaria,-0.9136736406531694,1.8168462278933064e-10,25
GMB,Malaria,0.37017973324559084,0.06853572783146629,25
GNB,Malaria,-0.309579657873189,0.13208542290588218,25
GNQ,Malaria,0.7928575346078623,2.292317354224506e-06,25
GTM,Malaria,-0.5546744938592637,0.004007225835395888,25
GUY,Malaria,-0.23830702438688575,0.2513175319271545,25
HND,Malaria,-0.611421384919535,0.0011650819798510194,25
HTI,Malaria,-0.8368431441983136,1.8549823961303534e-07,25
IDN,Malaria,-0.6835563943356593,0.00016540352153937432,25
IND,Malaria,-0.9725221883852071,4.661370186069893e-16,25
IRN,Malaria,-0.846182724294291,9.884500041395136e-08,25
IRQ,Malaria,-0.1249870178933691,0.5516544869600951,25
KAZ,Malaria,,,25
KEN,Malaria,-0.7075067978766537,7.641051818432708e-05,25
KGZ,Malaria,-0.3723809037426534,0.06678036240145507,25
KHM,Malaria,-0.8649358929069351,2.440835682835222e-08,25
KOR,Malaria,-0.7565490188745,1.209637858658279e-05,25
LAO,Malaria,-0.826654587162192,3.530534896285734e-07,25
LBR,Malaria,0.017309974393561786,0.9345475372724522,25
LKA,Malaria,-0.37846512773925056,0.06210776349770189,25
MAR,Malaria,-0.4374032918535401,0.028775081368132352,25
MDG,Malaria,0.6872099202693969,0.00014770263628730512,25
MEX,Malaria,0.2949554152151865,0.15233079107510322,25
MLI,Malaria,-0.7186335333010084,5.20032320740753e-05,25
MMR,Malaria,-0.8714131986324557,1.4338009203842653e-08,25
MOZ,Malaria,-0.8976774999898408,1.1840360824182399e-09,25
MRT,Malaria,-0.3847293658098056,0.0575647151360532,25
MWI,Malaria,0.04722732344260659,0.8226234443590957,25
MYS,Malaria,-0.9006072013593021,8.604035172627951e-10,25
